timestamp,source,src_ip,dst_ip,dst_port,proto,event,mitre_id,mitre_name
2026-08-03T03:57:53.524131+00:00,zeek:conn,192.168.50.10,162.159.200.1,123,udp,connection 192.168.50.10 -> 162.159.200.1:123 (udp),,
2026-08-03T03:58:05.338930+00:00,zeek:conn,192.168.49.1,224.0.0.251,5353,udp,connection 192.168.49.1 -> 224.0.0.251:5353 (udp),,
2026-08-03T03:58:05.338930+00:00,zeek:dns,192.168.49.1,224.0.0.251,5353,dns,DNS query for _spotify-connect._tcp.local,,
2026-08-03T03:58:05.341682+00:00,zeek:conn,fe80::918a:d867:939c:bb14,ff02::fb,5353,udp,connection fe80::918a:d867:939c:bb14 -> ff02::fb:5353 (udp),,
2026-08-03T03:58:05.341682+00:00,zeek:dns,fe80::918a:d867:939c:bb14,ff02::fb,5353,dns,DNS query for _spotify-connect._tcp.local,,
2026-08-03T03:58:07.182522+00:00,zeek:conn,192.168.49.1,239.255.255.250,1900,udp,connection 192.168.49.1 -> 239.255.255.250:1900 (udp),,
2026-08-03T03:58:19.041966+00:00,zeek:conn,192.168.49.1,192.168.49.255,57621,udp,connection 192.168.49.1 -> 192.168.49.255:57621 (udp),,
2026-08-03T03:58:19.041966+0000,suricata,192.168.49.1,192.168.49.255,57621,UDP,"ALERT: ET INFO Spotify P2P Client (sid 2027397, severity 3)",T1190,Exploit Public-Facing Application
2026-08-03T03:58:25.732182+00:00,zeek:conn,192.168.50.10,162.159.200.1,123,udp,connection 192.168.50.10 -> 162.159.200.1:123 (udp),,
2026-08-03T03:58:45.973347+00:00,zeek:conn,192.168.49.1,239.255.255.250,1900,udp,connection 192.168.49.1 -> 239.255.255.250:1900 (udp),,
2026-08-03T03:58:57.983628+00:00,zeek:conn,192.168.50.10,162.159.200.1,123,udp,connection 192.168.50.10 -> 162.159.200.1:123 (udp),,
2026-08-03T03:59:30.240297+00:00,zeek:conn,192.168.50.10,162.159.200.1,123,udp,connection 192.168.50.10 -> 162.159.200.1:123 (udp),,
2026-08-03T03:59:35.696054+00:00,zeek:conn,192.168.50.6,192.168.50.255,138,udp,connection 192.168.50.6 -> 192.168.50.255:138 (udp),,
2026-08-03T04:00:02.490872+00:00,zeek:conn,192.168.50.10,162.159.200.1,123,udp,connection 192.168.50.10 -> 162.159.200.1:123 (udp),,
2026-08-03T04:00:05.336533+00:00,zeek:conn,192.168.49.1,224.0.0.251,5353,udp,connection 192.168.49.1 -> 224.0.0.251:5353 (udp),,
2026-08-03T04:00:05.336533+00:00,zeek:dns,192.168.49.1,224.0.0.251,5353,dns,DNS query for _spotify-connect._tcp.local,,
2026-08-03T04:00:05.336555+00:00,zeek:conn,fe80::918a:d867:939c:bb14,ff02::fb,5353,udp,connection fe80::918a:d867:939c:bb14 -> ff02::fb:5353 (udp),,
2026-08-03T04:00:05.336555+00:00,zeek:dns,fe80::918a:d867:939c:bb14,ff02::fb,5353,dns,DNS query for _spotify-connect._tcp.local,,
2026-08-03T04:00:07.187759+00:00,zeek:conn,192.168.49.1,239.255.255.250,1900,udp,connection 192.168.49.1 -> 239.255.255.250:1900 (udp),,
2026-08-03T04:00:10.287071+00:00,zeek:conn,192.168.50.10,192.168.50.6,1720,tcp,connection 192.168.50.10 -> 192.168.50.6:1720 (tcp),,
2026-08-03T04:00:10.287477+00:00,zeek:conn,192.168.50.10,192.168.50.6,53,tcp,connection 192.168.50.10 -> 192.168.50.6:53 (tcp),,
2026-08-03T04:00:10.287479+00:00,zeek:conn,192.168.50.10,192.168.50.6,143,tcp,connection 192.168.50.10 -> 192.168.50.6:143 (tcp),,
2026-08-03T04:00:10.287803+00:00,zeek:conn,192.168.50.10,192.168.50.6,587,tcp,connection 192.168.50.10 -> 192.168.50.6:587 (tcp),,
2026-08-03T04:00:10.288239+00:00,zeek:conn,192.168.50.10,192.168.50.6,1025,tcp,connection 192.168.50.10 -> 192.168.50.6:1025 (tcp),,
2026-08-03T04:00:10.288575+00:00,zeek:conn,192.168.50.10,192.168.50.6,256,tcp,connection 192.168.50.10 -> 192.168.50.6:256 (tcp),,
2026-08-03T04:00:10.288577+00:00,zeek:conn,192.168.50.10,192.168.50.6,1723,tcp,connection 192.168.50.10 -> 192.168.50.6:1723 (tcp),,
2026-08-03T04:00:10.288578+00:00,zeek:conn,192.168.50.10,192.168.50.6,110,tcp,connection 192.168.50.10 -> 192.168.50.6:110 (tcp),,
2026-08-03T04:00:10.288579+00:00,zeek:conn,192.168.50.10,192.168.50.6,139,tcp,connection 192.168.50.10 -> 192.168.50.6:139 (tcp),,
2026-08-03T04:00:10.289035+00:00,zeek:conn,192.168.50.10,192.168.50.6,23,tcp,connection 192.168.50.10 -> 192.168.50.6:23 (tcp),,
2026-08-03T04:00:10.293833+00:00,zeek:conn,192.168.50.10,192.168.50.6,443,tcp,connection 192.168.50.10 -> 192.168.50.6:443 (tcp),,
