---------------------------------------------------------------------------------------------------
Date: 8/3/2026 -- 04:16:34 (uptime: 0d, 00h 00m 21s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 5454
decoder.bytes                                                | Total                     | 769303
decoder.ipv4                                                 | Total                     | 4738
decoder.ipv6                                                 | Total                     | 49
decoder.ethernet                                             | Total                     | 5454
decoder.arp                                                  | Total                     | 667
decoder.tcp                                                  | Total                     | 4558
tcp.syn                                                      | Total                     | 1211
tcp.synack                                                   | Total                     | 222
tcp.rst                                                      | Total                     | 1082
decoder.udp                                                  | Total                     | 206
decoder.icmpv4                                               | Total                     | 3
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 141
decoder.max_pkt_size                                         | Total                     | 1514
flow.total                                                   | Total                     | 1306
flow.tcp                                                     | Total                     | 1211
flow.udp                                                     | Total                     | 93
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 14
decoder.event.ipv4.opt_pad_required                          | Total                     | 10
decoder.event.ipv6.zero_len_padn                             | Total                     | 10
flow.wrk.flows_evicted_needs_work                            | Total                     | 1122
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1227
flow.wrk.flows_evicted                                       | Total                     | 41
flow.wrk.flows_injected                                      | Total                     | 1120
tcp.sessions                                                 | Total                     | 1211
tcp.ssn_from_cache                                           | Total                     | 2
tcp.ssn_from_pool                                            | Total                     | 1209
tcp.pseudo                                                   | Total                     | 20
tcp.segment_from_pool                                        | Total                     | 804
detect.alert                                                 | Total                     | 107
detect.alerts_suppressed                                     | Total                     | 31
app_layer.flow.failed_tcp                                    | Total                     | 28
app_layer.flow.http                                          | Total                     | 74
app_layer.tx.http                                            | Total                     | 74
app_layer.flow.ftp                                           | Total                     | 13
app_layer.tx.ftp                                             | Total                     | 50
app_layer.flow.smtp                                          | Total                     | 8
app_layer.tx.smtp                                            | Total                     | 7
app_layer.flow.tls                                           | Total                     | 17
app_layer.error.tls.parser                                   | Total                     | 8
app_layer.flow.ssh                                           | Total                     | 9
app_layer.flow.smb                                           | Total                     | 11
app_layer.tx.smb                                             | Total                     | 36
app_layer.flow.dns_tcp                                       | Total                     | 3
app_layer.tx.dns_tcp                                         | Total                     | 6
app_layer.flow.ntp                                           | Total                     | 25
app_layer.flow.dhcp                                          | Total                     | 1
app_layer.flow.rfb                                           | Total                     | 9
app_layer.tx.rfb                                             | Total                     | 9
app_layer.error.rfb.parser                                   | Total                     | 4
app_layer.flow.telnet                                        | Total                     | 2
app_layer.flow.mdns                                          | Total                     | 14
app_layer.flow.failed_udp                                    | Total                     | 48
app_layer.flow.dns_udp                                       | Total                     | 5
app_layer.tx.dns_udp                                         | Total                     | 10
app_layer.tx.ntp                                             | Total                     | 25
app_layer.tx.dhcp                                            | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 14
flow.end.state.new                                           | Total                     | 62
flow.end.state.established                                   | Total                     | 40
flow.end.state.closed                                        | Total                     | 1204
flow.end.tcp_state.fin_wait2                                 | Total                     | 1
flow.end.tcp_state.close_wait                                | Total                     | 6
flow.end.tcp_state.closed                                    | Total                     | 1204
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 10000
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 145
flow.recycler.queue_max                                      | Total                     | 145
tcp.memuse                                                   | Total                     | 1245184
tcp.reassembly_memuse                                        | Total                     | 229376
ftp.memuse                                                   | Total                     | 1
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
